CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,ELAProf_Score,ELAProf_Weight,MathProf_Score,MathProf_Weight,Grad4YR_Score,Grad4YR_Weight,Grad5YR_Score,Grad5YR_Weight,ELAGrowth_Score,ELAGrowth_Weight,MathGrowth_Score,MathGrowth_Weight,ELP_Score,ELP_Weight,CA_Score,CA_Weight,SummativeScore,SummativeRating,CompSupport_Bottom5%,CompSupport_Grad67,AccountabilityIndicator,IndicatorScore,IndicatorWeight,Year
01,ATLANTIC,1790,GREATER EGG HARBOR REG,050,OAKCREST HIGH SCHOOL,36.39,17.5%,17.48,17.5%,22.35,25.0%,33.62,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,18.39,15.0%,26.18,17.77,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1790,GREATER EGG HARBOR REG,060,CEDAR CREEK HIGH SCHOOL,44.99,17.5%,43.27,17.5%,25.79,25.0%,50.86,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,22.13,15.0%,37.93,29.80,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,055,GEORGE L. HESS EDUCATIONAL COMPLEX,24.88,15.0%,23.22,15.0%,9999999,9999999,9999999,9999999,50.65,20.0%,65.99,20.0%,42.13,20.0%,70.20,10.0%,45.99,42.54,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1940,HAMILTON TWP,120,WILLIAM DAVIES MIDDLE SCHOOL,35.55,17.5%,19.96,17.5%,9999999,9999999,9999999,9999999,19.31,25.0%,11.69,25.0%,9999999,9999999,25.48,15.0%,21.29,9.30,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,050,HAMMONTON HIGH SCHOOL,66.19,17.5%,61.60,17.5%,17.48,25.0%,42.82,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,14.66,15.0%,39.64,32.38,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,055,WARREN E. SOOY JR. ELEMENTARY SCHOOL,34.83,15.0%,50.65,15.0%,9999999,9999999,9999999,9999999,19.08,20.0%,56.50,20.0%,68.51,20.0%,45.56,10.0%,46.20,42.77,No,No,NA,NA,NA,2017-18
01,ATLANTIC,1960,HAMMONTON TOWN,060,HAMMONTON MIDDLE SCHOOL,41.71,17.5%,32.70,17.5%,9999999,9999999,9999999,9999999,76.48,25.0%,26.59,25.0%,9999999,9999999,31.77,15.0%,43.55,38.09,No,No,NA,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,020,BELHAVEN MIDDLE SCHOOL,90.46,17.5%,70.91,17.5%,9999999,9999999,9999999,9999999,92.12,25.0%,59.11,25.0%,9999999,9999999,42.15,15.0%,72.37,82.46,No,No,NA,NA,NA,2017-18
01,ATLANTIC,2680,LINWOOD CITY,050,SEAVIEW ELEMENTARY SCHOOL,88.68,17.5%,91.65,17.5%,9999999,9999999,9999999,9999999,21.80,25.0%,9.50,25.0%,9999999,9999999,57.67,15.0%,48.03,45.85,No,No,NA,NA,NA,2017-18
01,ATLANTIC,2910,MAINLAND REGIONAL,050,MAINLAND REGIONAL HIGH SCHOOL,64.18,17.5%,59.60,17.5%,62.18,25.0%,53.16,25.0%,9999999,9999999,9999999,9999999,9999999,9999999,58.91,15.0%,59.33,61.60,No,No,NA,NA,NA,2017-18
01,ATLANTIC,3020,MARGATE CITY,010,EUGENE A. TIGHE MIDDLE SCHOOL,97.75,17.5%,92.30,17.5%,9999999,9999999,9999999,9999999,81.69,25.0%,90.21,25.0%,9999999,9999999,33.75,15.0%,81.30,92.36,No,No,NA,NA,NA,2017-18
