CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,Teachers/Admins,Female,Male,White,Hispanic,Black or African American,Asian,American Indian or Alaska Native,Native Hawaiian or Pacific Islander,Two or More Races,Year
01,ATLANTIC,3720,NORTHFIELD CITY,057,NORTHFIELD COMMUNITY ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,3720,NORTHFIELD CITY,057,NORTHFIELD COMMUNITY ELEMENTARY SCHOOL,Teachers,91.7,8.3,95.8,2.1,2.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,Admins,71.4,28.6,28.6,0.0,71.4,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,050,PLEASANTVILLE HIGH SCHOOL,Teachers,51.9,48.1,75.3,3.9,19.5,0.0,0.0,0.0,1.3,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,055,PLEASANTVILLE MIDDLE SCHOOL,Admins,71.4,28.6,28.6,0.0,71.4,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,055,PLEASANTVILLE MIDDLE SCHOOL,Teachers,71.6,28.4,60.8,8.1,31.1,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,060,WASHINGTON AVENUE ELEMENTARY SCHOOL,Admins,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,060,WASHINGTON AVENUE ELEMENTARY SCHOOL,Teachers,87.5,12.5,60.0,20.0,15.0,0.0,0.0,0.0,5.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,080,LEEDS AVENUE ELEMENTARY SCHOOL,Admins,66.7,33.3,0.0,33.3,66.7,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,080,LEEDS AVENUE ELEMENTARY SCHOOL,Teachers,83.3,16.7,41.7,8.3,45.8,0.0,0.0,0.0,4.2,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,085,NORTH MAIN STREET ELEMENTARY SCHOOL,Admins,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,085,NORTH MAIN STREET ELEMENTARY SCHOOL,Teachers,75.8,24.2,63.6,3.0,33.3,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,095,SOUTH MAIN STREET ELEMENTARY SCHOOL,Admins,33.3,66.7,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,095,SOUTH MAIN STREET ELEMENTARY SCHOOL,Teachers,83.7,16.3,37.2,7.0,51.2,0.0,0.0,0.0,4.7,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,100,DECATUR AVENUE EARLY CHILDHOOD CENTER,Admins,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4180,PLEASANTVILLE CITY,100,DECATUR AVENUE EARLY CHILDHOOD CENTER,Teachers,89.3,10.7,64.3,17.9,10.7,0.0,0.0,3.6,3.6,2017-18
01,ATLANTIC,4240,PORT REPUBLIC CITY,050,PORT REPUBLIC ELEMENTARY SCHOOL,Admins,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4240,PORT REPUBLIC CITY,050,PORT REPUBLIC ELEMENTARY SCHOOL,Teachers,85.7,14.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,050,DAWES AVENUE ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,050,DAWES AVENUE ELEMENTARY SCHOOL,Teachers,86.8,13.2,97.4,0.0,2.6,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,055,JORDAN ROAD ELEMENTARY SCHOOL,Admins,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,055,JORDAN ROAD ELEMENTARY SCHOOL,Teachers,83.6,16.4,93.4,3.3,1.6,0.0,0.0,1.6,0.0,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,060,NEW YORK AVENUE ELEMENTARY SCHOOL,Admins,75.0,25.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
01,ATLANTIC,4800,SOMERS POINT CITY,060,NEW YORK AVENUE ELEMENTARY SCHOOL,Teachers,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-18
