CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,StudentDeviceRatio,Year
03,BERGEN,0300,BERGENFIELD BORO,020,BERGENFIELD HIGH SCHOOL,1:1,2017-18
03,BERGEN,0300,BERGENFIELD BORO,040,FRANKLIN ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,0300,BERGENFIELD BORO,050,HOOVER ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,0300,BERGENFIELD BORO,060,JEFFERSON ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,0300,BERGENFIELD BORO,070,LINCOLN ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,0300,BERGENFIELD BORO,075,ROY W. BROWN MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,0300,BERGENFIELD BORO,080,WASHINGTON ELEMENTARY SCHOOL,1.1:1,2017-18
03,BERGEN,0440,BOGOTA BORO,020,BOGOTA JR./SR. HIGH SCHOOL,2.9:1,2017-18
03,BERGEN,0440,BOGOTA BORO,030,E. ROY BIXBY,1.0:1,2017-18
03,BERGEN,0440,BOGOTA BORO,050,LILLIAN M. STEEN,1.1:1,2017-18
03,BERGEN,0740,CARLSTADT BORO,050,CARLSTADT PUBLIC SCHOOL,1:1,2017-18
03,BERGEN,0745,CARLSTADT-EAST RUTHERFORD,050,HENRY P. BECTON REGIONAL HIGH SCHOOL,2.6:1,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,030,CLIFFSIDE PARK HIGH SCHOOL,1:1,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,050,SCHOOL #3,1:1,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,060,SCHOOL #4,1:1,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,070,SCHOOL #5,1:1,2017-18
03,BERGEN,0890,CLIFFSIDE PARK BORO,080,SCHOOL #6/MIDDLE SCHOOL,1.6:1,2017-18
03,BERGEN,0930,CLOSTER BORO,050,HILLSIDE ELEMENTARY SCHOOL,1.1:1,2017-18
03,BERGEN,0930,CLOSTER BORO,060,TENAKILL MIDDLE SCHOOL,1.3:1,2017-18
03,BERGEN,0990,CRESSKILL BORO,040,CRESSKILL HIGH SCHOOL,5.2:1,2017-18
03,BERGEN,0990,CRESSKILL BORO,045,CRESSKILL MIDDLE SCHOOL,9.0:1,2017-18
03,BERGEN,0990,CRESSKILL BORO,050,EDWARD H. BRYAN,3.7:1,2017-18
03,BERGEN,0990,CRESSKILL BORO,060,MERRITT MEMORIAL,NA,2017-18
03,BERGEN,1070,DEMAREST BORO,030,COUNTY ROAD SCHOOL,NA,2017-18
03,BERGEN,1070,DEMAREST BORO,040,DEMAREST MIDDLE SCHOOL,1.0:1,2017-18
03,BERGEN,1070,DEMAREST BORO,050,LUTHER LEE EMERSON SCHOOL,1:1,2017-18
03,BERGEN,1130,DUMONT BORO,040,DUMONT HIGH SCHOOL,1:1,2017-18
03,BERGEN,1130,DUMONT BORO,050,GRANT ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,1130,DUMONT BORO,060,HONISS ELEMENTARY\MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,1130,DUMONT BORO,070,LINCOLN ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,1130,DUMONT BORO,080,SELZER ELEMENTARY\MIDDLE SCHOOL,1.1:1,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,040,ALFRED S. FAUST,1.6:1,2017-18
03,BERGEN,1230,EAST RUTHERFORD BORO,080,MCKENZIE SCHOOL,1.5:1,2017-18
03,BERGEN,1270,EDGEWATER BORO,050,ELEANOR VAN GELDER,1:1,2017-18
03,BERGEN,1270,EDGEWATER BORO,300,GEORGE WASHINGTON SCHOOL,NA,2017-18
03,BERGEN,1345,ELMWOOD PARK,050,MEMORIAL SENIOR HIGH SCHOOL,1:1,2017-18
03,BERGEN,1345,ELMWOOD PARK,060,MEMORIAL MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,1345,ELMWOOD PARK,070,GANTNER AVENUE SCHOOL,1.1:1,2017-18
03,BERGEN,1345,ELMWOOD PARK,080,GILBERT AVENUE SCHOOL,1.4:1,2017-18
03,BERGEN,1345,ELMWOOD PARK,090,SIXTEENTH AVENUE SCHOOL,1.7:1,2017-18
03,BERGEN,1360,EMERSON BORO,050,EMERSON JR SR HIGH,1:1,2017-18
03,BERGEN,1360,EMERSON BORO,060,PATRICK M VILLANO SCHOOL,1.0:1,2017-18
03,BERGEN,1360,EMERSON BORO,070,MEMORIAL SCHOOL,NA,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,040,DWIGHT MORROW HIGH SCHOOL/ACADEMIES@ENGLEWOOD,3.1:1,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,060,DR. LEROY MCCLOUD ELEMENTARY SCHOOL,3.2:1,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,070,DONALD A. QUARLES EARLY CHILDHOOD CENTER,NA,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,076,JANIS E. DISMUS MIDDLE SCHOOL,2.3:1,2017-18
03,BERGEN,1370,ENGLEWOOD CITY,086,DR. JOHN GRIECO ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,040,NORTH CLIFF SCHOOL,NA,2017-18
03,BERGEN,1380,ENGLEWOOD CLIFFS BORO,060,UPPER SCHOOL,1:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,050,FAIR LAWN HIGH SCHOOL,2.0:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,060,THOMAS JEFFERSON MIDDLE SCHOOL,1.5:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,070,MEMORIAL MIDDLE SCHOOL,1.4:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,080,HENRY B. MILNES ELEMENTARY SCHOOL,2.5:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,085,JOHN A. FORREST ELEMENTARY SCHOOL,1.9:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,100,LYNCREST ELEMENTARY SCHOOL,1.9:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,110,RADBURN ELEMENTARY SCHOOL,1.8:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,140,WARREN POINT ELEMENTARY SCHOOL,2.0:1,2017-18
03,BERGEN,1450,FAIR LAWN BORO,160,WESTMORELAND ELEMENTARY SCHOOL,1.8:1,2017-18
03,BERGEN,1470,FAIRVIEW BORO,060,LINCOLN SCHOOL,3.9:1,2017-18
03,BERGEN,1470,FAIRVIEW BORO,065,LINCOLN SCHOOL ANNEX,NA,2017-18
03,BERGEN,1470,FAIRVIEW BORO,080,NUMBER THREE SCHOOL,5.4:1,2017-18
03,BERGEN,1550,FORT LEE BORO,050,FORT LEE HIGH SCHOOL,11.5:1,2017-18
03,BERGEN,1550,FORT LEE BORO,060,SCHOOL NO. 1,4.3:1,2017-18
03,BERGEN,1550,FORT LEE BORO,070,SCHOOL NO. 2,7.8:1,2017-18
03,BERGEN,1550,FORT LEE BORO,080,SCHOOL NO. 3,5.2:1,2017-18
03,BERGEN,1550,FORT LEE BORO,090,SCHOOL NO. 4,11.6:1,2017-18
03,BERGEN,1550,FORT LEE BORO,100,LEWIS F. COLE MIDDLE SCHOOL,1.6:1,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,015,FRANKLIN AVENUE MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,020,HIGH MOUNTAIN ROAD SCHOOL,1:1,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,030,WOODSIDE AVENUE SCHOOL,1.1:1,2017-18
03,BERGEN,1580,FRANKLIN LAKES BORO,040,COLONIAL ROAD SCHOOL,1.5:1,2017-18
03,BERGEN,1700,GARFIELD CITY,040,GARFIELD EARLY CHILDHOOD LEARNING CENTER,NA,2017-18
03,BERGEN,1700,GARFIELD CITY,050,GARFIELD HIGH SCHOOL,4.8:1,2017-18
03,BERGEN,1700,GARFIELD CITY,060,CHRISTOPHER COLUMBUS SCHOOL #8,NA,2017-18
03,BERGEN,1700,GARFIELD CITY,070,GARFIELD MIDDLE SCHOOL,4.5:1,2017-18
03,BERGEN,1700,GARFIELD CITY,080,ABRAHAM LINCOLN SCHOOL #6,3.1:1,2017-18
03,BERGEN,1700,GARFIELD CITY,086,GARFIELD PUBLIC PRESCHOOL ANNEX,NA,2017-18
03,BERGEN,1700,GARFIELD CITY,100,ROOSEVELT SCHOOL #7,3.8:1,2017-18
03,BERGEN,1700,GARFIELD CITY,120,WASHINGTON IRVING SCHOOL #4,NA,2017-18
03,BERGEN,1700,GARFIELD CITY,130,WOODROW WILSON SCHOOL #5,NA,2017-18
03,BERGEN,1700,GARFIELD CITY,205,JAMES MADISON SCHOOL #10,NA,2017-18
03,BERGEN,1700,GARFIELD CITY,301,GARFIELD AUXILIARY MS/HS,1:1,2017-18
03,BERGEN,1700,GARFIELD CITY,302,GARFIELD PUBLIC PRESCHOOL 3 AT HEADSTART,NA,2017-18
03,BERGEN,1760,GLEN ROCK BORO,050,GLEN ROCK HIGH SCHOOL,1:1,2017-18
03,BERGEN,1760,GLEN ROCK BORO,060,GLEN ROCK MIDDLE SCHOOL,1.8:1,2017-18
03,BERGEN,1760,GLEN ROCK BORO,065,ALEXANDER HAMILTON SCHOOL,1.3:1,2017-18
03,BERGEN,1760,GLEN ROCK BORO,070,RICHARD E BYRD,1:1,2017-18
03,BERGEN,1760,GLEN ROCK BORO,080,CENTRAL SCHOOL,1.4:1,2017-18
03,BERGEN,1760,GLEN ROCK BORO,090,CLARA E COLEMAN SCHOOL,1.2:1,2017-18
03,BERGEN,1860,HACKENSACK CITY,050,HACKENSACK HIGH SCHOOL,1:1,2017-18
03,BERGEN,1860,HACKENSACK CITY,090,NELLIE K. PARKER,1:1,2017-18
03,BERGEN,1860,HACKENSACK CITY,100,FAIRMOUNT,1:1,2017-18
03,BERGEN,1860,HACKENSACK CITY,110,FANNY MEYER HILLERS,1:1,2017-18
03,BERGEN,1860,HACKENSACK CITY,120,JACKSON AVENUE,1:1,2017-18
03,BERGEN,1860,HACKENSACK CITY,300,HACKENSACK MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,2050,HARRINGTON PARK BORO,050,HARRINGTON PARK SCHOOL,1.0:1,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,050,HASBROUCK HEIGHTS HIGH SCHOOL,1:1,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,055,HASBROUCK HEIGHTS MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,060,EUCLID ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,2080,HASBROUCK HEIGHTS BORO,080,LINCOLN ELEMENTARY SCHOOL,1:1,2017-18
03,BERGEN,2090,HAWORTH BORO,050,HAWORTH PUBLIC SCHOOL,1:1,2017-18
03,BERGEN,2180,HILLSDALE BORO,010,ANN BLANCHE SMITH,1:1,2017-18
03,BERGEN,2180,HILLSDALE BORO,020,GEORGE G WHITE,1:1,2017-18
03,BERGEN,2180,HILLSDALE BORO,030,MEADOWBROOK,1:1,2017-18
03,BERGEN,2200,HO HO KUS BORO,050,HO-HO-KUS PUBLIC SCHOOL,1.1:1,2017-18
03,BERGEN,2620,LEONIA BORO,050,LEONIA HIGH SCHOOL,1:1,2017-18
03,BERGEN,2620,LEONIA BORO,055,LEONIA MIDDLE SCHOOL,1:1,2017-18
03,BERGEN,2620,LEONIA BORO,060,ANNA C. SCOTT ELEMENTARY SCHOOL,2.2:1,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,030,MEMORIAL ELEMENTARY SCHOOL,1.3:1,2017-18
03,BERGEN,2710,LITTLE FERRY BORO,050,WASHINGTON ELEMENTARY SCHOOL,2.0:1,2017-18
03,BERGEN,2740,LODI BOROUGH,050,LODI HIGH SCHOOL,2.6:1,2017-18
03,BERGEN,2740,LODI BOROUGH,060,COLUMBUS SCHOOL,3.2:1,2017-18
03,BERGEN,2740,LODI BOROUGH,065,HILLTOP SCHOOL,2.3:1,2017-18
03,BERGEN,2740,LODI BOROUGH,067,THOMAS JEFFERSON MIDDLE SCHOOL,1.4:1,2017-18
03,BERGEN,2740,LODI BOROUGH,080,ROOSEVELT SCHOOL,1.5:1,2017-18
03,BERGEN,2740,LODI BOROUGH,090,WASHINGTON SCHOOL,3.3:1,2017-18
03,BERGEN,2740,LODI BOROUGH,100,WILSON SCHOOL,3.0:1,2017-18
03,BERGEN,2860,LYNDHURST TWP,050,LYNDHURST HIGH SCHOOL,1:1,2017-18
03,BERGEN,2860,LYNDHURST TWP,060,COLUMBUS SCHOOL,NA,2017-18
